Indice,Time,PSolStatus,X,Y,Z,stdX,stdY,stdZ,VSolStatus,VX,VY,VZ,stdVX,stdVY,stdVZ,VLatency,SolAge,SolSatNumber
   38,2016-05-31 14:41:23.81,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   39,2016-05-31 14:41:23.91,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   40,2016-05-31 14:41:24.02,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   41,2016-05-31 14:41:24.11,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   42,2016-05-31 14:41:24.21,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   43,2016-05-31 14:41:24.31,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   44,2016-05-31 14:41:24.41,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   45,2016-05-31 14:41:24.51,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   46,2016-05-31 14:41:24.61,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   47,2016-05-31 14:41:24.71,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   48,2016-05-31 14:41:24.81,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   49,2016-05-31 14:41:24.91,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   50,2016-05-31 14:41:25.02,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   51,2016-05-31 14:41:25.11,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   52,2016-05-31 14:41:25.22,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   53,2016-05-31 14:41:25.31,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   54,2016-05-31 14:41:25.41,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   55,2016-05-31 14:41:25.51,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
   56,2016-05-31 14:41:25.61,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0500000007451,0.0,3
